ticker,exchange;last modified: 2020.05.01;source: https://dividend.watch/stocklists/dividend-aristocrats
ABBV,NYSE
ABT,NYSE
ADM,NYSE
ADP,NASDAQ
AFL,NYSE
AOS,NYSE
APD,NYSE
BDX,NYSE
BEN,NYSE
CAH,NYSE
CAT,NYSE
CB,NYSE
CINF,NASDAQ
CL,NYSE
CLX,NYSE
CTAS,NASDAQ
CVX,NYSE
DOV,NYSE
ECL,NYSE
ED,NYSE
EMR,NYSE
FRT,NYSE
GD,NYSE
GPC,NYSE
GWW,NYSE
HRL,NYSE
ITW,NYSE
JNJ,NYSE
KMB,NYSE
KO,NYSE
LEG,NYSE
LIN,NYSE
LOW,NYSE
MCD,NYSE
MDT,NYSE
MKC,NYSE
MMM,NYSE
NUE,NYSE
PBCT,NASDAQ
PEP,NASDAQ
PG,NYSE
PNR,NYSE
PPG,NYSE
ROP,NYSE
SHW,NYSE
SPGI,NYSE
SWK,NYSE
SYY,NYSE
T,NYSE
TGT,NYSE
TROW,NASDAQ
UTX,NYSE
VFC,NYSE
WBA,NASDAQ
WMT,NYSE
XOM,NYSE